ID,PMC_vs_ADJHEALTHY,METASTATIC_vs_ADJHEALTHY,METASTATIC_vs_PMC
A2LD1,0.566783466292076,-0.32155917467763445,-0.8883426409697104
A2M,-1.611775918967699,-0.05732232176381017,1.5544535972038889
AAAS,1.9966484150934232,2.1131346757593956,0.11648626066597241
AACS,-1.559417107245358,-2.425672845639069,-0.8662557383937112
AAED1,2.452823327971887,3.2403818247150977,0.7875584967432109
AAGAB,-1.0050693388744452,-3.7008837970798125,-2.6958144582053674
AAMP,-0.8035720250784302,-1.6314740094713003,-0.82790198439287
AARS,4.165489573900656,6.064169579976365,1.898680006075709
AARS2,1.3081034251703283,2.152766780327646,0.8446633551573177
AARSD1,1.5772397326231373,2.5743099077036,0.9970701750804625
AASDH,0.9760273788939511,-0.4279575254962185,-1.4039849043901695
AASDHPPT,4.148156025865909,4.765693157052447,0.6175371311865377
AATF,4.470141162431936,5.25787013110082,0.7877289686688828
ABAT,-0.7699585674603115,3.5603403206093778,4.33029888806969
ABCA2,-1.9751116780640234,0.8635202323174301,2.8386319103814537
ABCB1,-3.9244905598172015,-4.179412306124016,-0.2549217463068149
ABCB10,-0.7659639034524799,0.6267822511755528,1.3927461546280326
ABCB6,2.731695818153703,4.456527514302202,1.724831696148499
ABCB7,-0.49541238330102605,1.101808443893352,1.5972208271943782
ABCB8,1.515464722573507,1.4701208697294963,-0.045343852844010483
ABCC1,3.9888771116846438,4.308139192878851,0.3192620811942071
ABCC10,2.7549557036521364,2.5293626100820106,-0.22559309357012589
ABCC3,-3.920077628126508,-3.5150373731643842,0.40504025496212404
ABCC5,-1.5314010971916174,-3.3160211784968228,-1.7846200813052056
ABCC9,2.3873977751820745,4.426225612576854,2.038827837394779
ABCD1,-1.1970891020119512,-0.13510230570754506,1.061986796304406
ABCD3,-4.202838856464031,-3.155891778594115,1.0469470778699161
ABCD4,-4.255660832698195,-6.467576697291761,-2.2119158645935677
ABCE1,4.01870208967678,4.865103532024848,0.8464014423480677
ABCF1,2.2936317411913825,2.4911291010322154,0.19749735984083316
ABCF2,2.2616771759926046,1.3361073698026034,-0.9255698061900014
ABCF3,-0.4509263258108058,-0.18686378007750162,0.2640625457333042
ABCG1,-2.579005903237044,-3.5226121879962866,-0.9436062847592434
ABHD10,-1.075844450363578,0.8355861975355858,1.9114306478991638
ABHD11,0.1708126570774747,-0.11881447104718378,-0.28962712812465846
ABHD12,0.8944209813527471,1.6760766710254744,0.7816556896727275
ABHD13,0.7801691827383678,0.8625516893604201,0.08238250662205249
ABHD14A,-1.798067078346734,-1.776713979815726,0.021353098531007968
ABHD14B,-2.822267790249302,-2.4645872507648616,0.35768053948444023
ABHD15,-3.9920022524472105,-2.9713332115954243,1.020669040851786
ABHD16A,1.2518234762003426,0.3944075514889326,-0.85741592471141
ABHD2,2.288814237241786,5.20805501129911,2.9192407740573234
ABHD3,-6.379500489602166,-8.565172034207666,-2.1856715446054986
ABHD4,-3.597690344819161,-5.378990344034858,-1.7812999992156977
ABHD5,-4.410304264939445,-5.513208914560197,-1.102904649620752
ABHD6,-3.446486957047072,-0.1515359217773436,3.2949510352697287
ABHD8,-1.0884107394619082,0.14003494782073164,1.22844568728264
ABI1,-0.5929876090704909,-1.9676908430453743,-1.3747032339748835
ABI2,2.843095742847715,2.410915924232798,-0.432179818614917
ABI3,-2.949871560129681,-2.8008652514308587,0.14900630869882225
ABL1,-1.0261786681034555,-4.373632219157496,-3.347453551054041
ABL2,5.516072553373089,5.739103452266672,0.22303089889358274
ABLIM1,-1.208608160435882,-2.806352028198378,-1.5977438677624958
ABR,-4.123786153788627,-5.578980462060052,-1.455194308271425
ABRACL,-1.4335224867434084,-2.1608838480587567,-0.7273613613153483
ABT1,1.9279680357076636,3.30592582927108,1.3779577935634162
ABTB1,-2.3917828026696295,-3.2042019176598506,-0.8124191149902211
ABTB2,-1.3827486945167715,-0.8259013917284204,0.5568473027883509
ACAA1,-4.52467648581868,-0.5782807095485784,3.9463957762701014
ACAA2,-5.456971600609803,-3.4179816886785743,2.0389899119312287
ACACA,5.429929903155961,4.557557570097336,-0.8723723330586254
ACAD10,-3.8445484159205985,-3.1270132850608703,0.717535130859728
ACAD11,0.27119847639553046,5.237708810829848,4.966510334434318
ACAD8,-4.0279207729781765,-3.978487636931879,0.049433136046297746
ACAD9,0.3999629329535377,2.4743484465844143,2.074385513630877
ACADM,-4.157987566731762,-2.110682933964927,2.047304632766835
ACADS,-6.92524176537674,-6.3740183392875736,0.5512234260891667
ACADSB,-2.985288585864072,1.2339326342460168,4.219221220110089
ACADVL,-4.4944549490038055,-2.12275697649159,2.371697972512215
ACAP2,-3.3130246502760166,-4.351847989089933,-1.0388233388139163
ACAP3,-0.3572584407457563,-1.0558896818503303,-0.698631241104574
ACAT1,-4.4134356950919065,-1.0897682590250015,3.323667436066905
ACAT2,0.4262752763928967,3.722942385048382,3.2966671086554853
ACBD3,0.08436214578564862,-0.49164753621025337,-0.576009681995902
ACBD4,-3.8923971535323245,-0.9176546265385692,2.9747425269937557
ACBD5,-0.6680987293384332,-0.17090682804056778,0.49719190129786545
ACBD6,4.374680925196282,5.843139631075362,1.4684587058790801
ACD,2.573642043069937,3.3085821480948487,0.7349401050249117
ACE,-0.560688572897088,-3.061770395486654,-2.501081822589566
ACER3,-3.2276355680744904,-5.418676479872008,-2.1910409117975185
ACIN1,-0.6490249954566429,-0.9567715628966702,-0.3077465674400271
ACLY,4.247110492740309,3.8875832254385334,-0.3595272673017755
